"Record ID","Intake Date","Intake Channel","Business Category","Complaint Code","Business Unique ID","Business Name","Result Date","Result","Referred To","Contract Cancelled Amount","Refund Amount","Building Nbr","Street1","Unit Type","Apt/Suite","City","Postcode","Borough"
"074175-2025-CMPL","09/22/2025","311","Laundries","Lost/Stolen/Damaged Property","BA-1748034-2025","ridgewood wash and fold","09/23/2025","Insufficient Info Received",,,,"452","WYCKOFF AVE",,,"BROOKLYN","11237","Brooklyn"
"074138-2025-CMPL","09/22/2025","Email/Fax","Other",,"BA-1747966-2025","New York State Department of Financial Services","09/22/2025","Referred","Other",,,"1","STATE ST",,,"NEW YORK","10004","Manhattan"
"074182-2025-CMPL","09/22/2025","311","Megastore","Overcharge","BA-1748450-2025","Dollar General","09/26/2025","Insufficient Info Received",,,,"135","CANAL ST",,,"STATEN ISLAND","10304","Staten Island"
"074104-2025-CMPL","09/22/2025","311","Landlord or Real Estate Agent","Required to Use  Agent",,,"09/29/2025","Complaint Review Complete",,,,"337","TOMPKINS AVE",,,"BROOKLYN","11216","Brooklyn"
"074158-2025-CMPL","09/22/2025","311","General Vendor","Advertising/Misleading - A02","BA-1748100-2025","Nexus Travels","09/23/2025","Referred","NYC Department of Sanitation",,,"1088","LIBERTY AVE",,,"BROOKLYN","11208","Brooklyn"
"074173-2025-CMPL","09/22/2025","311","Grocery-Retail","Overcharge","BA-1748057-2025","Heavenly Market Inc","09/23/2025","Insufficient Info Received",,,,"58","CARMINE ST",,,"NEW YORK","10014","Manhattan"
"074186-2025-CMPL","09/22/2025","311","Electronic Cigarette Dealer","Unlicensed","BA-1748995-2025","BREUKELEN WEALTH AND TAXES","09/23/2025","Inspection Requested","INS-000893639",,,"1","W 9TH ST",,,"BROOKLYN","11231","Brooklyn"
"074176-2025-CMPL","09/22/2025","311","Tow Truck Company","Overcharge","BA-1729411-2025","ben and nino","09/23/2025","Insufficient Info Received",,,,"2603","STILLWELL AVE",,,"BROOKLYN","11223","Brooklyn"
"074181-2025-CMPL","09/22/2025","Email/Fax","Salons And Barbershop",,,,"09/22/2025","Referred","Other",,,,,,,,,
"074188-2025-CMPL","09/22/2025","311","Home Improvement Contractor","Misrepresentation - M01",,,"09/23/2025","Complaint Review Complete",,,,,,,,,,
"074111-2025-CMPL","09/22/2025","311","Restaurant","Overcharge",,,"09/22/2025","Insufficient Info Received",,,,,,,,,,
"074161-2025-CMPL","09/22/2025","311","Grocery-Retail","Other - Z01","BA-1748164-2025","2OTH AVE CANDY AND GROCERY CORP.","09/24/2025","Referred","NYC Police Department",,,"8409","20TH AVE",,,"BROOKLYN","11214","Brooklyn"
"074171-2025-CMPL","09/22/2025","Email/Fax","Other",,"BA-1695225-2024","Cablevision Systems Long Island Corporation","09/22/2025","Referred","NYS Public Service Commission",,,"1111","STEWART AVE",,,"BETHPAGE","11714",
"074106-2025-CMPL","09/22/2025","311","Retail Laundry","Condemned/Expired Scale","BA-1747954-2025","A&R Laundromat","09/22/2025","Referred","NYC Department of Health & Mental Hygiene",,,"10234","JAMAICA AVE",,,"RICHMOND HILL","11418","Queens"
